region,year,sex,age_group,prevalence,unemployment_rate,policy_index,sunshine_hours
Abruzzo,2018,Female,45-64,22.96,10.73,70.9,2201.5
Abruzzo,2018,Female,65+,21.14,10.73,70.9,2201.5
Abruzzo,2019,Male,15-24,27.26,8.13,78.2,2083.0
Abruzzo,2019,Male,25-44,30.86,8.13,78.2,2083.0
Abruzzo,2019,Male,45-64,23.68,8.13,78.2,2083.0
Abruzzo,2019,Male,65+,24.12,8.13,78.2,2083.0
Abruzzo,2019,Female,15-24,23.39,8.13,78.2,2083.0
Abruzzo,2019,Female,25-44,25.0,8.13,78.2,2083.0
Abruzzo,2019,Female,45-64,22.39,8.13,78.2,2083.0
Abruzzo,2019,Female,65+,17.31,8.13,78.2,2083.0
Abruzzo,2020,Male,15-24,26.78,9.44,72.5,2079.1
Abruzzo,2020,Male,25-44,29.36,9.44,72.5,2079.1
Abruzzo,2020,Male,45-64,27.48,9.44,72.5,2079.1
Abruzzo,2020,Male,65+,22.48,9.44,72.5,2079.1
Abruzzo,2020,Female,15-24,22.19,9.44,72.5,2079.1
Abruzzo,2020,Female,25-44,24.5,9.44,72.5,2079.1
Abruzzo,2020,Female,45-64,22.92,9.44,72.5,2079.1
Abruzzo,2020,Female,65+,19.33,9.44,72.5,2079.1
Abruzzo,2021,Male,15-24,26.17,9.54,81.1,2139.4
Abruzzo,2021,Male,25-44,29.21,9.54,81.1,2139.4
Abruzzo,2021,Male,45-64,25.8,9.54,81.1,2139.4
Abruzzo,2021,Male,65+,23.67,9.54,81.1,2139.4
Abruzzo,2021,Female,15-24,22.0,9.54,81.1,2139.4
Abruzzo,2021,Female,25-44,24.37,9.54,81.1,2139.4
Abruzzo,2021,Female,45-64,21.31,9.54,81.1,2139.4
Abruzzo,2021,Female,65+,17.24,9.54,81.1,2139.4
Abruzzo,2022,Male,15-24,26.7,6.36,79.5,1962.2
Abruzzo,2022,Male,25-44,28.66,6.36,79.5,1962.2
Abruzzo,2022,Male,45-64,25.41,6.36,79.5,1962.2
Abruzzo,2022,Male,65+,22.17,6.36,79.5,1962.2
Abruzzo,2022,Female,15-24,20.98,6.36,79.5,1962.2
Abruzzo,2022,Female,25-44,23.98,6.36,79.5,1962.2
Abruzzo,2022,Female,45-64,21.06,6.36,79.5,1962.2
Abruzzo,2022,Female,65+,17.6,6.36,79.5,1962.2
Abruzzo,2023,Male,15-24,25.94,6.22,75.3,1941.9
Abruzzo,2023,Male,25-44,28.5,6.22,75.3,1941.9
Abruzzo,2023,Male,45-64,26.99,6.22,75.3,1941.9
Abruzzo,2023,Male,65+,22.27,6.22,75.3,1941.9
Abruzzo,2023,Female,15-24,22.36,6.22,75.3,1941.9
Abruzzo,2023,Female,25-44,24.03,6.22,75.3,1941.9
Abruzzo,2023,Female,45-64,19.18,6.22,75.3,1941.9
Abruzzo,2023,Female,65+,18.07,6.22,75.3,1941.9
Abruzzo,2024,Male,15-24,25.86,8.02,82.1,1985.1
Abruzzo,2024,Male,25-44,30.26,8.02,82.1,1985.1
Abruzzo,2024,Male,45-64,24.61,8.02,82.1,1985.1
Abruzzo,2024,Male,65+,22.1,8.02,82.1,1985.1
Abruzzo,2024,Female,15-24,21.77,8.02,82.1,1985.1
Abruzzo,2024,Female,25-44,22.63,8.02,82.1,1985.1
Abruzzo,2024,Female,45-64,21.94,8.02,82.1,1985.1
Abruzzo,2024,Female,65+,18.55,8.02,82.1,1985.1
Basilicata,2010,Male,15-24,32.79,14.27,53.7,2562.3
Basilicata,2010,Male,25-44,33.09,14.27,53.7,2562.3
Basilicata,2010,Male,45-64,32.4,14.27,53.7,2562.3
Basilicata,2010,Male,65+,26.6,14.27,53.7,2562.3
Basilicata,2010,Female,15-24,28.59,14.27,53.7,2562.3
Basilicata,2010,Female,25-44,32.19,14.27,53.7,2562.3
Basilicata,2010,Female,45-64,26.01,14.27,53.7,2562.3
Basilicata,2010,Female,65+,23.43,14.27,53.7,2562.3
Basilicata,2011,Male,15-24,31.8,15.21,63.4,2435.0
Basilicata,2011,Male,25-44,33.2,15.21,63.4,2435.0
Basilicata,2011,Male,45-64,29.15,15.21,63.4,2435.0
Basilicata,2011,Male,65+,27.77,15.21,63.4,2435.0
Basilicata,2011,Female,15-24,26.64,15.21,63.4,2435.0
Basilicata,2011,Female,25-44,30.17,15.21,63.4,2435.0
Basilicata,2011,Female,45-64,25.78,15.21,63.4,2435.0
Basilicata,2011,Female,65+,25.25,15.21,63.4,2435.0
Basilicata,2012,Male,15-24,30.62,15.58,65.7,2379.5
Basilicata,2012,Male,25-44,33.08,15.58,65.7,2379.5
Basilicata,2012,Male,45-64,31.21,15.58,65.7,2379.5
Basilicata,2012,Male,65+,26.17,15.58,65.7,2379.5
Basilicata,2012,Female,15-24,27.63,15.58,65.7,2379.5
Basilicata,2012,Female,25-44,30.71,15.58,65.7,2379.5
Basilicata,2012,Female,45-64,24.79,15.58,65.7,2379.5
Basilicata,2012,Female,65+,23.58,15.58,65.7,2379.5
Basilicata,2013,Male,15-24,31.36,16.07,62.7,2540.2
Basilicata,2013,Male,25-44,33.88,16.07,62.7,2540.2
Basilicata,2013,Male,45-64,28.86,16.07,62.7,2540.2
Basilicata,2013,Male,65+,25.78,16.07,62.7,2540.2
Basilicata,2013,Female,15-24,27.62,16.07,62.7,2540.2
Basilicata,2013,Female,25-44,29.4,16.07,62.7,2540.2
Basilicata,2013,Female,45-64,26.35,16.07,62.7,2540.2
Basilicata,2013,Female,65+,23.45,16.07,62.7,2540.2
Basilicata,2014,Male,15-24,30.12,14.62,66.4,2610.9
Basilicata,2014,Male,25-44,33.03,14.62,66.4,2610.9
Basilicata,2014,Male,45-64,30.09,14.62,66.4,2610.9
Basilicata,2014,Male,65+,26.09,14.62,66.4,2610.9
Basilicata,2014,Female,15-24,28.67,14.62,66.4,2610.9
Basilicata,2014,Female,25-44,29.27,14.62,66.4,2610.9
Basilicata,2014,Female,45-64,24.61,14.62,66.4,2610.9
Basilicata,2014,Female,65+,23.46,14.62,66.4,2610.9
Basilicata,2015,Male,15-24,29.53,17.04,73.4,2651.6
Basilicata,2015,Male,25-44,33.29,17.04,73.4,2651.6
Basilicata,2015,Male,45-64,30.66,17.04,73.4,2651.6
Basilicata,2015,Male,65+,25.68,17.04,73.4,2651.6
Basilicata,2015,Female,15-24,27.46,17.04,73.4,2651.6
Basilicata,2015,Female,25-44,28.91,17.04,73.4,2651.6
Basilicata,2015,Female,45-64,26.32,17.04,73.4,2651.6
Basilicata,2015,Female,65+,24.4,17.04,73.4,2651.6
Basilicata,2016,Male,15-24,29.95,16.99,67.5,2545.0
Basilicata,2016,Male,25-44,31.45,16.99,67.5,2545.0
Basilicata,2016,Male,45-64,28.31,16.99,67.5,2545.0
Basilicata,2016,Male,65+,25.38,16.99,67.5,2545.0
Basilicata,2016,Female,15-24,26.12,16.99,67.5,2545.0
Basilicata,2016,Female,25-44,28.54,16.99,67.5,2545.0
Basilicata,2016,Female,45-64,25.48,16.99,67.5,2545.0
Basilicata,2016,Female,65+,23.03,16.99,67.5,2545.0
Basilicata,2017,Male,15-24,29.91,15.22,67.3,2533.2
Basilicata,2017,Male,25-44,33.35,15.22,67.3,2533.2
Basilicata,2017,Male,45-64,28.64,15.22,67.3,2533.2
Basilicata,2017,Male,65+,28.62,15.22,67.3,2533.2
Basilicata,2017,Female,15-24,26.53,15.22,67.3,2533.2
Basilicata,2017,Female,25-44,27.04,15.22,67.3,2533.2
Basilicata,2017,Female,45-64,23.83,15.22,67.3,2533.2
Basilicata,2017,Female,65+,22.38,15.22,67.3,2533.2
Basilicata,2018,Male,15-24,29.38,14.87,76.4,2605.8
Basilicata,2018,Male,25-44,32.31,14.87,76.4,2605.8
Basilicata,2018,Male,45-64,29.07,14.87,76.4,2605.8
Basilicata,2018,Male,65+,25.53,14.87,76.4,2605.8
Basilicata,2018,Female,15-24,24.75,14.87,76.4,2605.8
Basilicata,2018,Female,25-44,26.09,14.87,76.4,2605.8
Basilicata,2018,Female,45-64,24.15,14.87,76.4,2605.8
Basilicata,2018,Female,65+,22.46,14.87,76.4,2605.8
Basilicata,2019,Male,15-24,29.51,12.75,79.4,2399.1
Basilicata,2019,Male,25-44,30.05,12.75,79.4,2399.1
Basilicata,2019,Male,45-64,28.47,12.75,79.4,2399.1
Basilicata,2019,Male,65+,25.69,12.75,79.4,2399.1
Basilicata,2019,Female,15-24,24.42,12.75,79.4,2399.1
Basilicata,2019,Female,25-44,27.45,12.75,79.4,2399.1
Basilicata,2019,Female,45-64,24.36,12.75,79.4,2399.1
Basilicata,2019,Female,65+,20.16,12.75,79.4,2399.1
Basilicata,2020,Male,15-24,29.36,14.13,75.0,2461.4
Basilicata,2020,Male,25-44,31.56,14.13,75.0,2461.4
Basilicata,2020,Male,45-64,29.08,14.13,75.0,2461.4
Basilicata,2020,Male,65+,26.05,14.13,75.0,2461.4
Basilicata,2020,Female,15-24,23.62,14.13,75.0,2461.4
Basilicata,2020,Female,25-44,26.06,14.13,75.0,2461.4
Basilicata,2020,Female,45-64,24.52,14.13,75.0,2461.4
Basilicata,2020,Female,65+,21.51,14.13,75.0,2461.4
Basilicata,2021,Male,15-24,29.22,13.57,79.5,2471.3
Basilicata,2021,Male,25-44,34.55,13.57,79.5,2471.3
Basilicata,2021,Male,45-64,28.27,13.57,79.5,2471.3
Basilicata,2021,Male,65+,25.84,13.57,79.5,2471.3
Basilicata,2021,Female,15-24,25.65,13.57,79.5,2471.3
Basilicata,2021,Female,25-44,27.35,13.57,79.5,2471.3
Basilicata,2021,Female,45-64,23.38,13.57,79.5,2471.3
Basilicata,2021,Female,65+,21.46,13.57,79.5,2471.3
Basilicata,2022,Male,15-24,27.63,12.42,82.0,2466.4
Basilicata,2022,Male,25-44,30.16,12.42,82.0,2466.4
Basilicata,2022,Male,45-64,26.91,12.42,82.0,2466.4
Basilicata,2022,Male,65+,24.48,12.42,82.0,2466.4
Basilicata,2022,Female,15-24,26.71,12.42,82.0,2466.4
Basilicata,2022,Female,25-44,24.53,12.42,82.0,2466.4
Basilicata,2022,Female,45-64,24.09,12.42,82.0,2466.4
Basilicata,2022,Female,65+,18.79,12.42,82.0,2466.4
Basilicata,2023,Male,15-24,27.63,13.27,77.3,2395.1
Basilicata,2023,Male,25-44,31.19,13.27,77.3,2395.1
Basilicata,2023,Male,45-64,27.16,13.27,77.3,2395.1
Basilicata,2023,Male,65+,23.02,13.27,77.3,2395.1
Basilicata,2023,Female,15-24,23.38,13.27,77.3,2395.1
Basilicata,2023,Female,25-44,26.78,13.27,77.3,2395.1
Basilicata,2023,Female,45-64,22.37,13.27,77.3,2395.1
Basilicata,2023,Female,65+,20.32,13.27,77.3,2395.1
Basilicata,2024,Male,15-24,27.85,11.67,79.5,2422.2
Basilicata,2024,Male,25-44,29.15,11.67,79.5,2422.2
Basilicata,2024,Male,45-64,28.94,11.67,79.5,2422.2
Basilicata,2024,Male,65+,24.43,11.67,79.5,2422.2
Basilicata,2024,Female,15-24,21.77,11.67,79.5,2422.2
Basilicata,2024,Female,25-44,25.99,11.67,79.5,2422.2
Basilicata,2024,Female,45-64,22.14,11.67,79.5,2422.2
Basilicata,2024,Female,65+,20.65,11.67,79.5,2422.2
Calabria,2010,Male,15-24,31.21,14.56,63.7,2350.7
Calabria,2010,Male,25-44,33.89,14.56,63.7,2350.7
Calabria,2010,Male,45-64,31.5,14.56,63.7,2350.7
Calabria,2010,Male,65+,28.87,14.56,63.7,2350.7
Calabria,2010,Female,15-24,26.8,14.56,63.7,2350.7
Calabria,2010,Female,25-44,29.67,14.56,63.7,2350.7
Calabria,2010,Female,45-64,26.53,14.56,63.7,2350.7
Calabria,2010,Female,65+,23.35,14.56,63.7,2350.7
Calabria,2011,Male,15-24,33.47,13.63,66.6,2486.7
Calabria,2011,Male,25-44,34.1,13.63,66.6,2486.7
Calabria,2011,Male,45-64,29.44,13.63,66.6,2486.7
Calabria,2011,Male,65+,28.62,13.63,66.6,2486.7
Calabria,2011,Female,15-24,29.82,13.63,66.6,2486.7
Calabria,2011,Female,25-44,30.73,13.63,66.6,2486.7
Calabria,2011,Female,45-64,25.18,13.63,66.6,2486.7
Calabria,2011,Female,65+,23.22,13.63,66.6,2486.7
Calabria,2012,Male,15-24,32.67,15.21,64.7,2576.7
Calabria,2012,Male,25-44,32.69,15.21,64.7,2576.7
Calabria,2012,Male,45-64,30.84,15.21,64.7,2576.7
Calabria,2012,Male,65+,28.17,15.21,64.7,2576.7
Calabria,2012,Female,15-24,26.47,15.21,64.7,2576.7
Calabria,2012,Female,25-44,29.34,15.21,64.7,2576.7
Calabria,2012,Female,45-64,23.16,15.21,64.7,2576.7
Calabria,2012,Female,65+,22.38,15.21,64.7,2576.7
Calabria,2013,Male,15-24,30.85,15.51,61.9,2508.4
Calabria,2013,Male,25-44,31.85,15.51,61.9,2508.4
Calabria,2013,Male,45-64,31.73,15.51,61.9,2508.4
Calabria,2013,Male,65+,25.67,15.51,61.9,2508.4
Calabria,2013,Female,15-24,26.66,15.51,61.9,2508.4
Calabria,2013,Female,25-44,29.23,15.51,61.9,2508.4
Calabria,2013,Female,45-64,27.54,15.51,61.9,2508.4
Calabria,2013,Female,65+,21.66,15.51,61.9,2508.4
Calabria,2014,Male,15-24,31.96,16.17,72.0,2581.3
Calabria,2014,Male,25-44,32.81,16.17,72.0,2581.3
Calabria,2014,Male,45-64,28.82,16.17,72.0,2581.3
Calabria,2014,Male,65+,27.26,16.17,72.0,2581.3
Calabria,2014,Female,15-24,27.0,16.17,72.0,2581.3
Calabria,2014,Female,25-44,28.2,16.17,72.0,2581.3
Calabria,2014,Female,45-64,25.87,16.17,72.0,2581.3
Calabria,2014,Female,65+,22.41,16.17,72.0,2581.3
Calabria,2015,Male,15-24,30.61,15.62,65.9,2606.4
Calabria,2015,Male,25-44,33.16,15.62,65.9,2606.4
Calabria,2015,Male,45-64,31.09,15.62,65.9,2606.4
Calabria,2015,Male,65+,25.26,15.62,65.9,2606.4
Calabria,2015,Female,15-24,28.63,15.62,65.9,2606.4
Calabria,2015,Female,25-44,26.55,15.62,65.9,2606.4
Calabria,2015,Female,45-64,25.35,15.62,65.9,2606.4
Calabria,2015,Female,65+,23.09,15.62,65.9,2606.4
Calabria,2016,Male,15-24,30.48,15.69,68.0,2552.2
Calabria,2016,Male,25-44,31.58,15.69,68.0,2552.2
Calabria,2016,Male,45-64,28.99,15.69,68.0,2552.2
Calabria,2016,Male,65+,25.71,15.69,68.0,2552.2
Calabria,2016,Female,15-24,25.61,15.69,68.0,2552.2
Calabria,2016,Female,25-44,29.05,15.69,68.0,2552.2
Calabria,2016,Female,45-64,25.56,15.69,68.0,2552.2
Calabria,2016,Female,65+,21.51,15.69,68.0,2552.2
Calabria,2017,Male,15-24,30.8,16.27,71.5,2568.1
Calabria,2017,Male,25-44,32.21,16.27,71.5,2568.1
Calabria,2017,Male,45-64,29.71,16.27,71.5,2568.1
Calabria,2017,Male,65+,26.53,16.27,71.5,2568.1
Calabria,2017,Female,15-24,25.07,16.27,71.5,2568.1
Calabria,2017,Female,25-44,27.34,16.27,71.5,2568.1
Calabria,2017,Female,45-64,25.65,16.27,71.5,2568.1
Calabria,2017,Female,65+,22.51,16.27,71.5,2568.1
Calabria,2018,Male,15-24,29.58,14.48,76.7,2478.8
Calabria,2018,Male,25-44,31.72,14.48,76.7,2478.8
Calabria,2018,Male,45-64,29.88,14.48,76.7,2478.8
Calabria,2018,Male,65+,25.01,14.48,76.7,2478.8
Calabria,2018,Female,15-24,26.15,14.48,76.7,2478.8
Calabria,2018,Female,25-44,27.4,14.48,76.7,2478.8
Calabria,2018,Female,45-64,24.38,14.48,76.7,2478.8
Calabria,2018,Female,65+,22.7,14.48,76.7,2478.8
Calabria,2019,Male,15-24,30.13,12.68,76.1,2498.9
Calabria,2019,Male,25-44,32.11,12.68,76.1,2498.9
Calabria,2019,Male,45-64,29.61,12.68,76.1,2498.9
Calabria,2019,Male,65+,25.32,12.68,76.1,2498.9
Calabria,2019,Female,15-24,25.98,12.68,76.1,2498.9
Calabria,2019,Female,25-44,26.99,12.68,76.1,2498.9
Calabria,2019,Female,45-64,24.62,12.68,76.1,2498.9
Calabria,2019,Female,65+,21.17,12.68,76.1,2498.9
Calabria,2020,Male,15-24,29.1,15.37,76.2,2521.4
Calabria,2020,Male,25-44,31.6,15.37,76.2,2521.4
Calabria,2020,Male,45-64,27.18,15.37,76.2,2521.4
Calabria,2020,Male,65+,27.09,15.37,76.2,2521.4
Calabria,2020,Female,15-24,23.99,15.37,76.2,2521.4
Calabria,2020,Female,25-44,25.79,15.37,76.2,2521.4
Calabria,2020,Female,45-64,25.16,15.37,76.2,2521.4
Calabria,2020,Female,65+,21.79,15.37,76.2,2521.4
Calabria,2021,Male,15-24,29.32,14.38,77.9,2469.3
Calabria,2021,Male,25-44,31.33,14.38,77.9,2469.3
Calabria,2021,Male,45-64,27.69,14.38,77.9,2469.3
Calabria,2021,Male,65+,23.8,14.38,77.9,2469.3
Calabria,2021,Female,15-24,24.78,14.38,77.9,2469.3
Calabria,2021,Female,25-44,26.02,14.38,77.9,2469.3
Calabria,2021,Female,45-64,24.68,14.38,77.9,2469.3
Calabria,2021,Female,65+,20.55,14.38,77.9,2469.3
Calabria,2022,Male,15-24,27.57,11.19,78.1,2404.3
Calabria,2022,Male,25-44,30.08,11.19,78.1,2404.3
Calabria,2022,Male,45-64,27.81,11.19,78.1,2404.3
Calabria,2022,Male,65+,23.84,11.19,78.1,2404.3
Calabria,2022,Female,15-24,23.58,11.19,78.1,2404.3
Calabria,2022,Female,25-44,26.64,11.19,78.1,2404.3
Calabria,2022,Female,45-64,23.64,11.19,78.1,2404.3
Calabria,2022,Female,65+,19.89,11.19,78.1,2404.3
Calabria,2023,Male,15-24,27.63,12.83,81.2,2439.1
Calabria,2023,Male,25-44,30.33,12.83,81.2,2439.1
Calabria,2023,Male,45-64,25.65,12.83,81.2,2439.1
Calabria,2023,Male,65+,22.69,12.83,81.2,2439.1
Calabria,2023,Female,15-24,23.38,12.83,81.2,2439.1
Calabria,2023,Female,25-44,25.89,12.83,81.2,2439.1
Calabria,2023,Female,45-64,23.41,12.83,81.2,2439.1
Calabria,2023,Female,65+,21.58,12.83,81.2,2439.1
Calabria,2024,Male,15-24,28.66,11.5,73.4,2463.0
Calabria,2024,Male,25-44,29.64,11.5,73.4,2463.0
Calabria,2024,Male,45-64,26.78,11.5,73.4,2463.0
Calabria,2024,Male,65+,22.8,11.5,73.4,2463.0
Calabria,2024,Female,15-24,23.78,11.5,73.4,2463.0
Calabria,2024,Female,25-44,25.51,11.5,73.4,2463.0
Calabria,2024,Female,45-64,23.12,11.5,73.4,2463.0
Calabria,2024,Female,65+,18.97,11.5,73.4,2463.0
Campania,2010,Male,15-24,32.52,14.26,59.1,2377.0
Campania,2010,Male,25-44,35.53,14.26,59.1,2377.0
Campania,2010,Male,45-64,30.89,14.26,59.1,2377.0
Campania,2010,Male,65+,28.4,14.26,59.1,2377.0
Campania,2010,Female,15-24,28.69,14.26,59.1,2377.0
Campania,2010,Female,25-44,29.6,14.26,59.1,2377.0
Campania,2010,Female,45-64,27.22,14.26,59.1,2377.0
Campania,2010,Female,65+,24.01,14.26,59.1,2377.0
Campania,2011,Male,15-24,31.8,14.95,62.2,2595.7
Campania,2011,Male,25-44,32.93,14.95,62.2,2595.7
Campania,2011,Male,45-64,30.72,14.95,62.2,2595.7
Campania,2011,Male,65+,28.2,14.95,62.2,2595.7
Campania,2011,Female,15-24,29.15,14.95,62.2,2595.7
Campania,2011,Female,25-44,30.66,14.95,62.2,2595.7
Campania,2011,Female,45-64,28.85,14.95,62.2,2595.7
Campania,2011,Female,65+,22.93,14.95,62.2,2595.7
Campania,2012,Male,15-24,32.27,15.0,59.5,2529.3
Campania,2012,Male,25-44,33.58,15.0,59.5,2529.3
Campania,2012,Male,45-64,32.59,15.0,59.5,2529.3
Campania,2012,Male,65+,26.59,15.0,59.5,2529.3
Campania,2012,Female,15-24,26.56,15.0,59.5,2529.3
Campania,2012,Female,25-44,28.8,15.0,59.5,2529.3
Campania,2012,Female,45-64,24.28,15.0,59.5,2529.3
Campania,2012,Female,65+,22.87,15.0,59.5,2529.3
Campania,2013,Male,15-24,30.34,14.9,65.7,2592.8
Campania,2013,Male,25-44,33.25,14.9,65.7,2592.8
Campania,2013,Male,45-64,30.44,14.9,65.7,2592.8
Campania,2013,Male,65+,28.98,14.9,65.7,2592.8
Campania,2013,Female,15-24,28.05,14.9,65.7,2592.8
Campania,2013,Female,25-44,28.52,14.9,65.7,2592.8
Campania,2013,Female,45-64,25.2,14.9,65.7,2592.8
Campania,2013,Female,65+,23.59,14.9,65.7,2592.8
Campania,2014,Male,15-24,29.48,15.25,65.4,2649.6
Campania,2014,Male,25-44,34.63,15.25,65.4,2649.6
Campania,2014,Male,45-64,30.98,15.25,65.4,2649.6
Campania,2014,Male,65+,26.33,15.25,65.4,2649.6
Campania,2014,Female,15-24,25.09,15.25,65.4,2649.6
Campania,2014,Female,25-44,30.15,15.25,65.4,2649.6
Campania,2014,Female,45-64,25.69,15.25,65.4,2649.6
Campania,2014,Female,65+,24.04,15.25,65.4,2649.6
Campania,2015,Male,15-24,28.91,15.07,72.8,2497.3
Campania,2015,Male,25-44,31.9,15.07,72.8,2497.3
Campania,2015,Male,45-64,29.51,15.07,72.8,2497.3
Campania,2015,Male,65+,26.55,15.07,72.8,2497.3
Campania,2015,Female,15-24,26.05,15.07,72.8,2497.3
Campania,2015,Female,25-44,29.12,15.07,72.8,2497.3
Campania,2015,Female,45-64,24.43,15.07,72.8,2497.3
Campania,2015,Female,65+,22.36,15.07,72.8,2497.3
Campania,2016,Male,15-24,30.32,14.99,73.7,2530.2
Campania,2016,Male,25-44,32.71,14.99,73.7,2530.2
Campania,2016,Male,45-64,29.91,14.99,73.7,2530.2
Campania,2016,Male,65+,25.08,14.99,73.7,2530.2
Campania,2016,Female,15-24,24.67,14.99,73.7,2530.2
Campania,2016,Female,25-44,29.48,14.99,73.7,2530.2
Campania,2016,Female,45-64,25.53,14.99,73.7,2530.2
Campania,2016,Female,65+,21.45,14.99,73.7,2530.2
Campania,2017,Male,15-24,31.45,15.38,69.1,2540.5
Campania,2017,Male,25-44,32.02,15.38,69.1,2540.5
Campania,2017,Male,45-64,30.08,15.38,69.1,2540.5
Campania,2017,Male,65+,25.97,15.38,69.1,2540.5
Campania,2017,Female,15-24,27.96,15.38,69.1,2540.5
Campania,2017,Female,25-44,29.66,15.38,69.1,2540.5
Campania,2017,Female,45-64,24.65,15.38,69.1,2540.5
Campania,2017,Female,65+,22.87,15.38,69.1,2540.5
Campania,2018,Male,15-24,30.25,14.2,71.5,2489.6
Campania,2018,Male,25-44,32.97,14.2,71.5,2489.6
Campania,2018,Male,45-64,27.64,14.2,71.5,2489.6
Campania,2018,Male,65+,26.29,14.2,71.5,2489.6
Campania,2018,Female,15-24,26.66,14.2,71.5,2489.6
